sampleID,MW
NCGC00345451-05,324.36
NCGC00160398-11,347.38
NCGC00165961-09,447.63
NCGC00015674-03,167.21
NCGC00264075-01,374.41
NCGC00168941-22,354.31
NCGC00159330-06,266.26
NCGC00015497-04,182.18
NCGC00378881-01,517.41
NCGC00346719-04,320.37
NCGC00522117-01,410.92
NCGC00522601-01,411.5
NCGC00389212-01,376.58
NCGC00274279-01,377.4
NCGC00480916-02,517.53
NCGC00090922-01,154.12
NCGC00386170-01,164.16
NCGC00389467-01,483.96
NCGC00522503-02,883.02
NCGC00378628-09,461.03
NCGC00371093-05,331.41
NCGC00023595-10,314.38
NCGC00371038-01,324.16
NCGC00186464-01,551.77
NCGC00186464-12,551.77
NCGC00016410-23,201.25
NCGC00015437-24,360.84
NCGC00024503-01,75.07
NCGC00346572-03,501.73
NCGC00159482-11,288.44
NCGC00016261-09,169.18
NCGC00016261-17,169.18
NCGC00179244-12,324.45
NCGC00162052-05,305.37
NCGC00095323-01,442.68
NCGC00178064-04,154.12
NCGC00522447-01,449.63
NCGC00167803-15,432.47
NCGC00015228-02,402.49
NCGC00165856-15,495.75
NCGC00388284-12,547.67
NCGC00388284-04,547.67
NCGC00015442-21,130.08
NCGC00346534-06,314.32
NCGC00167962-14,438.52
NCGC00263162-11,469.41
NCGC00402349-01,403.48
NCGC00379210-01,294.35
NCGC00390674-01,397.54
NCGC00015067-20,180.16
NCGC00163489-05,288.3
NCGC00480770-02,398.44
NCGC00263142-06,439.39
NCGC00159521-07,273.1
NCGC00346877-05,477.65
NCGC00022848-34,362.47
NCGC00476169-02,582.97
NCGC00263155-12,318.35
NCGC00091913-04,312.45
NCGC00096028-12,317.34
NCGC00250390-08,446.5
NCGC00015760-15,153.18
NCGC00346633-02,464.49
NCGC00389544-01,388.56
NCGC00095136-09,558.6
NCGC00014994-07,160.22
NCGC00164617-09,412.53
NCGC00164617-06,412.53
NCGC00017364-18,180.16
NCGC00485221-01,329.21
NCGC00096014-06,258.23
NCGC00346587-15,328.27
NCGC00023654-26,217.29
NCGC00389511-01,396.45
NCGC00346560-08,242.23
NCGC00346678-03,364.41
NCGC00381566-04,341.41
NCGC00247029-06,164.16
NCGC00387076-01,89.09
NCGC00015243-17,325.84
NCGC00690025-01,699.7
NCGC00247668-04,397.65
NCGC00538085-01,435.5
NCGC00096081-06,536.89
NCGC00386337-03,666.79
NCGC00378723-01,425.89
NCGC00091208-11,194.27
NCGC00161344-03,302.46
NCGC00346703-10,600.48
NCGC00016268-18,123.11
NCGC00095703-05,402.4
NCGC00025195-12,228.25
NCGC00025195-11,228.25
NCGC00025091-10,464.65
NCGC00179534-06,250.29
NCGC00142493-04,227.22
NCGC00263505-02,316.49
NCGC00159554-05,479.82
NCGC00095709-09,294.35
NCGC00183031-09,219.24
NCGC00015844-09,562.67
NCGC00263102-09,384.28
NCGC00370892-01,318.5
NCGC00498399-02,416.48
NCGC00263117-17,349.43
NCGC00015997-14,125.15
NCGC00390251-01,516.46
NCGC00095191-15,312.41
NCGC00024495-02,89.09
NCGC00024498-03,133.1
NCGC00263546-09,498.58
NCGC00378604-03,493.59
NCGC00599756-01,195.01
NCGC00163341-01,119.12
NCGC00015526-04,220.23
NCGC00274070-04,368.47
NCGC00522305-01,489.37
NCGC00159409-07,180.16
NCGC00017358-15,394.42
NCGC00378657-02,749.96
NCGC00015254-33,326.83
NCGC00016567-05,173.21
NCGC00247879-03,480.42
NCGC00096117-02,392.15
NCGC00390777-02,221.02
NCGC00379239-01,309.84
NCGC00090919-01,200.32
NCGC00091068-01,228.38
NCGC00182552-16,704.87
NCGC00182552-17,704.87
NCGC00178734-13,407.32
NCGC00178734-07,407.32
NCGC00167573-01,785.56
NCGC00378650-01,707.98
NCGC00015381-04,168.15
NCGC00142622-07,205.25
NCGC00263623-03,384.42
NCGC00485895-01,344.42
NCGC00165915-06,338.41
NCGC00178086-10,131.13
NCGC00389020-01,152.15
NCGC00015825-04,167.21
NCGC00263173-08,323.37
NCGC00379032-03,406.36
NCGC00263108-02,492.59
NCGC00345492-08,296.33
NCGC00386215-04,339.4
NCGC00386215-05,339.4
NCGC00386215-03,339.4
NCGC00687128-01,485.56
NCGC00274063-03,334.38
NCGC00389390-01,391.56
NCGC00014991-04,117.15
NCGC00164319-22,458.38
NCGC00386359-03,278.35
NCGC00379250-06,321.38
NCGC00165833-21,376.42
NCGC00094889-08,194.19
NCGC00344625-10,352.35
NCGC00262306-17,384.49
NCGC00687614-01,1113.2
NCGC00378593-07,545.54
NCGC00378593-08,545.54
NCGC00389293-01,152.12
NCGC00414965-01,104.1
NCGC00095003-08,168.17
NCGC00142625-18,430.72
NCGC00249613-15,719.92
NCGC00346575-03,471.52
NCGC00159555-08,481.34
NCGC00164246-20,182.17
NCGC00164246-06,182.17
NCGC00168085-22,264.32
NCGC00018117-36,255.23
NCGC00018117-29,255.23
NCGC00024494-02,89.09
NCGC00015609-12,321.16
NCGC00017280-30,300.44
NCGC00093985-12,365.84
NCGC00178124-03,390.39
NCGC00163413-07,287.32
NCGC00475799-01,148.11
NCGC00018099-13,254.25
NCGC00482994-01,622.88
NCGC00161609-04,266.34
NCGC00599765-01,228.2
NCGC00250391-04,454.7
NCGC00242478-11,616.76
NCGC00182038-01,429.56
NCGC00510442-02,184.24
NCGC00346506-06,390.42
NCGC00178341-02,221.21
NCGC00092327-05,146.15
NCGC00371095-01,382.46
NCGC00094076-03,382.46
NCGC00091125-13,170.12
NCGC00379219-01,477.41
NCGC00378964-06,580.68
NCGC00482993-02,622.88
NCGC00016032-14,206.33
NCGC00496910-01,393.44
NCGC00388364-03,314.31
NCGC00094852-04,776.87
NCGC00015558-17,211.26
NCGC00095338-04,346.51
NCGC00015693-15,444.49
NCGC00025225-05,371.49
NCGC00389239-01,386.53
NCGC00165993-02,123.11
NCGC00164576-05,628.81
NCGC00163432-04,362.47
NCGC00016242-06,226.28
NCGC00015056-04,134.14
NCGC00093354-16,122.13
NCGC00159453-13,236.3
NCGC00382803-03,166.18
